MlsNum,BathsTotal,Beds,GarageCap,DOMAct,Basement,ClosedDate,YearBuilt,DaysOnMarket,ListPrice,Renovated,SalesPrice,StreetNumDisplay,StreetName,Style,AssessTotal,
3530115,2.10,4,2,29,Y,04/04/2019,1960,26,725000,,700000,621,VERMONT ST*,"SplitLev,",204700,
3532319,2.10,4,2,115,Y,09/09/2019,1955,115,725000,,700000,1035,SUMMIT AVE*,"Custom,",806300,
3537020,2.20,4,0,37,Y,06/10/2019,,36,725000,,704000,532,SHERWOOD PKY*,"Colonial,",149400,
3537815,2.00,4,1,23,Y,05/09/2019,9999,23,725000,,700000,319,HYSLIP AVE*,"Colonial,",0,
3538839,2.00,3,1,6,Y,04/08/2019,1955,6,725000,,725000,831,STEVENS AVE*,"CapeCod,",152500,
3551283,2.00,4,1,18,Y,07/18/2019,1870,18,725000,,725000,538,WESTFIELD AVE*,"Victrian,",151500,
3586666,3.00,3,1,34,Y,12/11/2019,1954,34,725000,,725000,785,CLARENCE ST*,"Ranch,Custom",765800,
3596316,2.10,4,2,14,Y,12/30/2020,1957,13,725000,,705000,1040,SEWARD AVE*,"SplitLev,",661900,
3542635,2.20,6,2,85,Y,07/30/2019,1932,85,729000,,685000,539,SHERWOOD PKY*,"Colonial,",163200,
3529578,2.10,4,1,20,Y,04/29/2019,1911,19,739000,,739000,532,COLEMAN PL*,"Colonial,",138300,
3530886,2.10,4,2,35,Y,05/07/2019,1926,35,745000,,720000,144,EFFINGHAM PL*,"Colonial,",0,
3501405,3.10,4,2,152,Y,04/01/2019,1975,152,749000,,726500,912,CRANFORD AVE*,"Colonial,",202200,
3533764,2.00,3,1,0,Y,04/10/2019,1925,0,749000,,762000,217,BENSON PL*,"Colonial,",141400,
3536591,2.10,4,2,43,Y,05/20/2019,,43,749000,2012,749000,650,RAYMOND ST*,"Colonial,",159100,
3560692,3.10,4,1,41,Y,09/09/2019,1939,41,749000,2006,734500,866,TICE PL*,"Colonial,",178100,
3563650,2.10,4,2,73,N,09/27/2019,1967,73,749000,,739000,582,N CHESTNUT ST*,"Colonial,",718400,
3577579,2.10,4,1,55,Y,10/23/2019,,54,749000,2014,710000,623,KENSINGTON DR*,"SplitLev,Custom",737000,
3562449,4.00,4,2,24,Y,07/30/2019,,24,749900,2016,745000,61,MICHAEL DR*,"Ranch,RanchExp",195100,
3527296,2.10,4,2,24,Y,06/25/2019,,23,750000,,736000,804,COLUMBUS AVE*,"Colonial,",205000,
3532146,3.10,4,2,89,Y,07/01/2019,1987,88,750000,,760000,5,HAMPTON CT*,"Contemp,",261600,
3534823,2.10,3,1,17,Y,05/06/2019,1953,16,750000,2014,760000,8,FOLKSTONE DR*,"Colonial,",747000,
3569978,2.10,4,2,15,Y,08/22/2019,1961,10,750000,2011,735000,306,WOODS END RD*,"SplitLev,",777900,
3578439,2.10,4,2,51,Y,10/18/2019,1987,49,758000,,639000,6,HAMPTON CT*,"Contemp,",888700,
3522871,3.00,5,2,47,N,05/24/2019,1959,47,765000,,740000,310,ORENDA CIR*,"Bi-Level,",175400,
3581756,2.10,4,0,20,Y,10/22/2019,,20,765000,,765000,751,CRESCENT PKY*,"Colonial,Tudor",763800,
3500996,2.10,4,1,120,Y,03/15/2019,1939,118,774000,,780000,810,FAIRACRES AVE*,"Colonial,",223900,
3538368,4.00,4,1,74,Y,07/29/2019,,65,775000,,760000,814,E BROAD ST*,"Colonial,",165900,
3538686,3.10,4,2,20,Y,04/26/2019,,20,775000,,740637,8,BURGESS CT*,"Colonial,",220200,
3553087,2.10,3,2,40,Y,07/29/2019,1947,40,775000,,740540,202,DICKSON DR*,"Colonial,",191100,
3477823,3.10,4,2,154,Y,04/01/2019,,152,779000,,750000,845,VILLAGE GREEN*,"Custom,",166000,
3542329,3.00,4,1,13,Y,06/17/2019,1940,13,779000,,765000,736,NORMAN PL*,"Custom,",177600,
3542914,2.10,4,1,6,Y,05/29/2019,1954,6,779000,2015,775000,645,SHACKAMAXON DRIVE,"SplitLev,",140000,
3528557,3.00,4,2,95,Y,06/07/2019,,95,789000,,765000,917,CARLETON RD*,"Colonial,",174300,
3549631,5.00,5,2,20,Y,06/25/2019,,20,790000,,793000,630,W BROAD ST*,"Colonial,",145000,
3587057,3.00,4,2,15,Y,11/26/2019,1925,15,798000,,790000,711,HIGHLAND AVE*,"Colonial,",1010200,
3489631,4.10,4,1,179,Y,03/22/2019,,203,799000,2018,791000,942,W NORTH AVE*,"Colonial,",75300,
3527496,2.10,4,1,35,Y,04/30/2019,1955,35,799000,2004,799000,647,Radley Road,"Colonial,Custom",140000,
3542524,2.10,4,0,11,Y,06/10/2019,,11,799000,2006,785000,219,SENECA PL*,"Colonial,",152300,
3576483,3.10,4,0,52,Y,10/31/2019,1929,51,799000,2018,810000,643,FOREST AVE*,"Tudor,Colonial",832400,
3579228,4.00,4,2,33,Y,10/28/2019,1964,33,799000,2012,750000,73,NOMAHEGAN DR*,"Custom,SplitLev",821000,
3584495,1.10,3,2,1,Y,11/08/2019,1941,1,799000,,799900,720,HARDING ST*,"Colonial,",752100,
3595485,3.20,5,1,76,Y,12/31/2020,1937,67,799000,,775000,26,FAIRHILL RD*,"Colonial,",0,
3549584,2.10,5,2,59,Y,08/16/2019,1955,59,799900,,755000,40,SUNNYWOOD DR*,"Custom,",223100,
3572068,3.10,4,2,0,Y,08/30/2019,1966,0,799900,,775000,266,TWIN OAKS TER*,"Colonial,",807000,
3572229,2.10,4,2,17,Y,09/19/2019,1958,15,799900,,820000,776,NORMAN PL*,"Colonial,",827400,
3529588,2.10,4,2,9,Y,03/05/2019,1980,9,819000,2018,805000,15,BURGESS CT*,"Colonial,",232500,
3586952,2.10,4,2,74,Y,12/31/2020,1959,75,819000,,780000,420,JEFFERSON AVE*,"SeeRem,Custom",800100,
3520707,3.10,5,2,9,Y,03/22/2019,1917,4,825000,,830000,220,N EUCLID AVE*,"Colonial,",217900,
3527086,3.10,5,2,35,Y,04/15/2019,1955,35,825000,2018,795000,29,WOODBROOK CIR*,"SplitLev,",193500,
3550797,3.00,5,1,110,Y,11/15/2019,,109,825000,2008,800000,427,BEECHWOOD PL*,"Colonial,Custom",130000,
3560927,2.10,4,2,19,Y,07/24/2019,1973,19,825000,2012,815000,106,FRAZEE COURT,"Colonial,Custom",0,
3525861,3.20,4,1,76,Y,05/22/2019,2018,75,829000,,815000,309,WALNUT ST*,"Duplex,MultiFlr",0,
3525879,3.20,4,1,64,Y,05/31/2019,2018,57,829000,,800000,311,WALNUT ST*,"HalfDupl,MultiFlr",0,
3546290,3.10,4,2,115,Y,08/23/2019,1929,115,839000,,825000,555,ALDEN AVE*,"Colonial,",211100,
3542711,2.10,4,3,25,Y,06/17/2019,1977,25,845000,,810000,51,NORMANDY DR*,"Colonial,Contemp",195700,
3541639,2.20,4,2,160,Y,08/30/2019,,135,845900,,798000,1110,GRANDVIEW AVE*,"Colonial,",257500,
3530253,2.10,4,2,44,Y,04/22/2019,1925,44,849000,,835000,550,ALDEN AVE*,"Colonial,",242700,
3588561,2.10,4,2,39,Y,12/05/2019,1965,37,849000,,825000,26,CORNWALL DR*,"Colonial,",847400,
3512416,4.10,4,1,39,Y,02/28/2019,2016,38,850000,,855000,1018,RIPLEY AVE*,"Custom,",192100,
3526194,2.00,3,2,67,Y,02/25/2019,,20,850000,,700000,26,CAROL RD*,"SplitLev,",202600,
3605203,3.10,3,1,0,Y,12/12/2019,2019,0,854000,,854000,575,PIERSON ST*,"Colonial,",0,
3553223,2.10,4,2,66,Y,09/13/2019,,64,855000,,792000,211,CONNECTICUT ST*,"AFrame,Colonial",224000,
3550100,3.10,5,1,108,Y,10/24/2019,1952,115,859000,2019,859000,167,N COTTAGE PL,"Colonial,",116900,
3539016,2.10,4,2,5,Y,05/30/2019,1955,2,865000,,865000,526,TREMONT AVE*,"Custom,SplitLev",185100,
3523014,4.10,5,2,1,Y,02/28/2019,1900,1,869000,,834000,525,KIMBALL AVE*,"Victrian,Colonial",153800,
3549280,3.00,4,2,6,Y,08/23/2019,1958,2,869000,,864000,840,NANCY WAY*,"SplitLev,",201800,
